SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,FACILITY_TYPE,GRADE,TOTAL_ENROLMENT,INDIGENOUS_ENROLMENT,ELL_ENROLMENT,FRENCH_IMMERSION_ENROLMENT,DISABILITIES_OR_DIVERSE_ABILITIES_ENROLMENT,RESIDENT_ENROLMENT,ADULT_ENROLMENT,TOTAL_FTE,INDIGENOUS_FTE,ELL_FTE,FRENCH_IMMERSION_FTE,DISABILITIES_OR_DIVERSE_ABILITIES_FTE,RESIDENT_FTE,ADULT_FTE
2020/2021,District Level,Public School,5.0,Southeast Kootenay,,,All Facility Types,All Grades,5650,1305,69,585,757,5631,43,5559.6875,1303.9375,69.6875,588.6875,763.8125,5553.375,5.125
2020/2021,District Level,Public School,6.0,Rocky Mountain,,,All Facility Types,All Grades,3343,863,37,170,339,3326,Msk,3315.375,857.4375,37,169,337.5,3304.1875,Msk
2020/2021,District Level,Public School,8.0,Kootenay Lake,,,All Facility Types,All Grades,5053,1156,68,281,457,4993,114,4719.9375,1108.375,68.25,276.875,453.5,4692.9375,9
2020/2021,District Level,Public School,10.0,Arrow Lakes,,,All Facility Types,All Grades,504,137,Msk,,79,504,Msk,515.1572,138.9376,Msk,,82.0001,515.1572,Msk
2020/2021,District Level,Public School,19.0,Revelstoke,,,All Facility Types,All Grades,1015,133,48,,200,1013,,1024.4375,134,48.5,,203.0625,1022.3125,
2020/2021,District Level,Public School,20.0,Kootenay-Columbia,,,All Facility Types,All Grades,3896,780,47,400,451,3896,,3880.75,770.5,47.375,404.75,436.5625,3880.75,
2020/2021,District Level,Public School,22.0,Vernon,,,All Facility Types,All Grades,8705,1565,150,1150,889,8661,20,8530.4375,1533.1875,150.25,1163.75,889.125,8489.875,3.375
2020/2021,District Level,Public School,23.0,Central Okanagan,,,All Facility Types,All Grades,23448,3647,864,2720,2963,23126,56,23454.625,3642.25,868.5,2773.0625,2960.75,23156.625,18
2020/2021,District Level,Public School,27.0,Cariboo-Chilcotin,,,All Facility Types,All Grades,4470,1508,222,372,376,4469,Msk,4413.9375,1484.1875,221,372.75,370.125,4412.9375,Msk
2020/2021,District Level,Public School,28.0,Quesnel,,,All Facility Types,All Grades,2987,1001,72,197,367,2987,Msk,2927.0,987.75,72,198.875,364.25,2927,Msk
2020/2021,District Level,Public School,33.0,Chilliwack,,,All Facility Types,All Grades,13677,2781,616,719,1982,13648,68,14036.1563,2842.5625,621.4375,741.5625,2081.875,14005.5313,31.625
2020/2021,District Level,Public School,34.0,Abbotsford,,,All Facility Types,All Grades,19905,2457,3019,1229,1929,19701,139,19651.4375,2432.5,3023.3125,1256.6875,1928.9375,19450.375,22.25
2020/2021,District Level,Public School,35.0,Langley,,,All Facility Types,All Grades,22991,2459,1410,1421,2971,22211,563,21916.625,2380.0625,1405.5625,1443.75,2986.5,21239.3125,73
2020/2021,District Level,Public School,36.0,Surrey,,,All Facility Types,All Grades,76804,3918,19113,3100,8661,76114,2329,73045.1875,3721.75,19078.0625,3083.5625,8556.5,72401.125,470.625
2020/2021,District Level,Public School,37.0,Delta,,,All Facility Types,All Grades,16728,792,1782,1896,2117,16404,323,16132.1877,787.4063,1793.7813,1897.625,2165.875,15813.1877,54.9689
2020/2021,District Level,Public School,38.0,Richmond,,,All Facility Types,All Grades,21386,327,6219,2347,1842,20780,405,20337.375,322.25,6217,2341.375,1834.9375,19759.0625,62.5625
2020/2021,District Level,Public School,39.0,Vancouver,,,All Facility Types,All Grades,53874,2377,8429,5054,5846,52545,1389,50045.75,2314.375,8434.8125,5052.25,5775.3125,48768.4375,265
2020/2021,District Level,Public School,40.0,New Westminster,,,All Facility Types,All Grades,7990,376,1251,1025,649,7877,1188,6782.4375,333.0625,1249.25,1030.625,644.5625,6689.0625,172.3125
2020/2021,District Level,Public School,41.0,Burnaby,,,All Facility Types,All Grades,26239,908,5838,2196,2484,25436,802,24657.3127,860.125,5842.875,2211.5625,2459.8438,23883.0627,149.9375
2020/2021,District Level,Public School,42.0,Maple Ridge-Pitt Meadows,,,All Facility Types,All Grades,15360,1748,824,1638,2466,15177,284,15219.125,1750.625,826,1664.5,2542.8125,15038.1875,30
2020/2021,District Level,Public School,43.0,Coquitlam,,,All Facility Types,All Grades,34428,1615,5085,3886,5127,33367,1228,32507.875,1586.125,5102.625,3937.25,5276.6875,31416.9375,241.9375
2020/2021,District Level,Public School,44.0,North Vancouver,,,All Facility Types,All Grades,16122,711,1020,2623,2210,15816,80,15628.1875,701.3125,1018.6875,2614.4375,2210.625,15336.75,5.3125
2020/2021,District Level,Public School,45.0,West Vancouver,,,All Facility Types,All Grades,7207,140,1355,1046,706,6898,Msk,7266.625,138.125,1359.1875,1067.0625,714,6948.125,Msk
2020/2021,District Level,Public School,46.0,Sunshine Coast,,,All Facility Types,All Grades,3271,769,115,,692,3269,19,3205.1875,759.5,115,,684.3125,3203.3125,3.75
2020/2021,District Level,Public School,47.0,qathet,,,All Facility Types,All Grades,3191,505,18,194,562,3163,35,2958.5625,468.8125,18,194.75,508.625,2932.6875,3.875
2020/2021,District Level,Public School,48.0,Sea to Sky,,,All Facility Types,All Grades,5398,764,380,1069,483,5346,33,5319.1875,766.625,383.625,1111,499.0625,5271.375,5.125
2020/2021,District Level,Public School,49.0,Central Coast,,,All Facility Types,All Grades,232,142,16,,32,232,,230.625,141.875,16,,31.625,230.625,
2020/2021,District Level,Public School,50.0,Haida Gwaii,,,All Facility Types,All Grades,444,305,43,,76,444,Msk,439.75,302,43,,75.9375,439.75,Msk
2020/2021,District Level,Public School,51.0,Boundary,,,All Facility Types,All Grades,1246,435,Msk,,196,1246,Msk,1241.125,434.75,Msk,,195,1241.125,Msk
2020/2021,District Level,Public School,52.0,Prince Rupert,,,All Facility Types,All Grades,1833,1182,180,210,285,1830,,1833.875,1184.4375,182.6875,211.125,283.0625,1831,
2020/2021,District Level,Public School,53.0,Okanagan Similkameen,,,All Facility Types,All Grades,2402,569,167,16,408,2402,52,2299.6875,548.0625,166.75,16,393.75,2299.6875,8.875
2020/2021,District Level,Public School,54.0,Bulkley Valley,,,All Facility Types,All Grades,1976,590,,176,202,1976,Msk,1931.375,584.625,,176,204,1931.375,Msk
2020/2021,District Level,Public School,57.0,Prince George,,,All Facility Types,All Grades,13080,4364,1728,1179,1466,13072,162,12880.5,4317.375,1729,1183.9375,1469.625,12874.8125,27.625
2020/2021,District Level,Public School,58.0,Nicola-Similkameen,,,All Facility Types,All Grades,2529,1008,,199,276,2525,211,1974.75,937.375,,199.75,263.4375,1974.375,15.625
2020/2021,District Level,Public School,59.0,Peace River South,,,All Facility Types,All Grades,3580,1329,85,269,421,3576,13,3560.8125,1326.625,85.75,270.625,419.8125,3558.0625,
2020/2021,District Level,Public School,60.0,Peace River North,,,All Facility Types,All Grades,6991,1523,483,373,624,6962,174,6065.6875,1455,485.75,378.4375,629.8125,6043,14
2020/2021,District Level,Public School,61.0,Greater Victoria,,,All Facility Types,All Grades,19548,1712,1919,3856,2475,19091,144,19819.8792,1724.7813,1942.3438,3990.7211,2586.7508,19371.5042,19.9375
2020/2021,District Level,Public School,62.0,Sooke,,,All Facility Types,All Grades,12206,1658,633,1553,1524,12060,472,11408.875,1566.1875,641.625,1577.375,1556.375,11295.625,40.875
2020/2021,District Level,Public School,63.0,Saanich,,,All Facility Types,All Grades,9820,961,634,964,1094,9732,1186,7621.0625,757.9375,635.5,969.8125,1034.0625,7539.0625,133.3125
2020/2021,District Level,Public School,64.0,Gulf Islands,,,All Facility Types,All Grades,1459,177,31,159,169,1420,,1456.1875,179.0625,31,160.625,171.5625,1430.8125,
2020/2021,District Level,Public School,67.0,Okanagan Skaha,,,All Facility Types,All Grades,5747,1157,81,612,629,5671,29,5592.0,1124.25,80.375,621.3125,623.5,5538.6875,5.125
2020/2021,District Level,Public School,68.0,Nanaimo-Ladysmith,,,All Facility Types,All Grades,15136,2874,980,1635,1169,15047,90,14393.4375,2773.6875,976.75,1621.5625,1126.9375,14312.25,8.75
2020/2021,District Level,Public School,69.0,Qualicum,,,All Facility Types,All Grades,4532,652,70,450,525,4502,37,4259.5,629.75,70.9375,454.875,516.8125,4230.9375,5.375
2020/2021,District Level,Public School,70.0,Pacific Rim,,,All Facility Types,All Grades,3813,1459,93,362,465,3807,80,3758.5625,1432.5,93.25,366,457.5,3752.0625,26.375
2020/2021,District Level,Public School,71.0,Comox Valley,,,All Facility Types,All Grades,12025,2126,111,1180,904,11834,698,9648.75,1913.375,111.0625,1184.9375,880.6875,9548.375,62.0625
2020/2021,District Level,Public School,72.0,Campbell River,,,All Facility Types,All Grades,5440,1484,261,855,690,5426,36,5436.25,1485.375,261.0625,876,693.6875,5424.875,6
2020/2021,District Level,Public School,73.0,Kamloops-Thompson,,,All Facility Types,All Grades,15343,3526,240,1206,1748,15243,278,14861.25,3409.5625,240.75,1217.9375,1725.625,14801.125,35.625
2020/2021,District Level,Public School,74.0,Gold Trail,,,All Facility Types,All Grades,1057,699,,,96,1057,,1042.0625,690.4375,,,93.6875,1042.0625,
2020/2021,District Level,Public School,75.0,Mission,,,All Facility Types,All Grades,6423,1318,357,545,773,6368,41,6247.3125,1282.0625,357.125,547.25,767.6875,6191.9375,4.125
2020/2021,District Level,Public School,78.0,Fraser-Cascade,,,All Facility Types,All Grades,1626,720,87,,264,1625,Msk,1639.75,723.375,87.5,,266.125,1638.75,Msk
2020/2021,District Level,Public School,79.0,Cowichan Valley,,,All Facility Types,All Grades,8441,1896,355,1004,1115,8364,29,8184.5416,1856.596,355.9688,1010.9063,1124.252,8113.9791,5.875
2020/2021,District Level,Public School,81.0,Fort Nelson,,,All Facility Types,All Grades,650,277,13,,69,650,,634.8125,269.875,13.1875,,67.6875,634.8125,
2020/2021,District Level,Public School,82.0,Coast Mountains,,,All Facility Types,All Grades,3968,1940,259,451,587,3968,75,3834.625,1879.75,258.9375,450.25,576.125,3834.625,3.5
2020/2021,District Level,Public School,83.0,K̓wsaltktnéws ne Secwepemcúl’ecw,,,All Facility Types,All Grades,6464,1493,44,758,1117,6460,20,6430.5625,1496.25,45.3125,778.875,1135,6426.3125,1.25
2020/2021,District Level,Public School,84.0,Vancouver Island West,,,All Facility Types,All Grades,381,262,34,,87,378,Msk,384.375,264.9375,34,,87.3125,381.125,Msk
2020/2021,District Level,Public School,85.0,Vancouver Island North,,,All Facility Types,All Grades,1220,623,205,,267,1219,Msk,1209.375,615.375,205.125,,265.75,1208.375,Msk
2020/2021,District Level,Public School,87.0,Stikine,,,All Facility Types,All Grades,172,144,,,25,172,Msk,168.3125,140.1875,,,24.5,168.3125,Msk
2020/2021,District Level,Public School,91.0,Nechako Lakes,,,All Facility Types,All Grades,5089,1584,,174,724,5045,436,3616.625,1402.4375,,174,667.625,3610.625,30.375
2020/2021,District Level,Public School,92.0,Nisga'a,,,All Facility Types,All Grades,388,387,64,,55,388,10,372.125,371.125,64,,52,372.125,1.75
2020/2021,District Level,Public School,93.0,Conseil scolaire francophone,,,All Facility Types,All Grades,6446,648,1522,,610,6446,Msk,6439.6875,647.8125,1523,,604.25,6439.6875,Msk
2021/2022,District Level,Public School,5.0,Southeast Kootenay,,,All Facility Types,All Grades,5967,1341,70,621,882,5901,55,5851.875,1322.8125,71.25,625.0625,883.75,5792.5,4.875
2021/2022,District Level,Public School,6.0,Rocky Mountain,,,All Facility Types,All Grades,3603,917,42,186,375,3517,Msk,3543.6875,898.9375,42,185,373,3469.5625,Msk
2021/2022,District Level,Public School,8.0,Kootenay Lake,,,All Facility Types,All Grades,5082,1145,78,305,440,5006,94,4777.5,1102,78.0625,303.9375,438.125,4719.25,6.125
2021/2022,District Level,Public School,10.0,Arrow Lakes,,,All Facility Types,All Grades,520,147,Msk,,89,520,Msk,532.0024,147.5005,Msk,,92.9067,532.0024,Msk
2021/2022,District Level,Public School,19.0,Revelstoke,,,All Facility Types,All Grades,1051,125,42,,189,1027,,1069.375,127.125,42.125,,196.0625,1045.125,
2021/2022,District Level,Public School,20.0,Kootenay-Columbia,,,All Facility Types,All Grades,4104,828,70,380,482,4104,,4083.6875,821.5,69.5625,380.875,476.4375,4083.6875,
2021/2022,District Level,Public School,22.0,Vernon,,,All Facility Types,All Grades,9197,1618,156,1134,1059,8955,15,8879.875,1570.4375,156.125,1138.25,1056.0625,8675.9375,4.625
2021/2022,District Level,Public School,23.0,Central Okanagan,,,All Facility Types,All Grades,24401,3685,954,2736,3047,23918,76,24374.9375,3690,959.0625,2791.6875,3048.75,23930.1875,19.5
2021/2022,District Level,Public School,27.0,Cariboo-Chilcotin,,,All Facility Types,All Grades,4685,1598,115,374,328,4683,Msk,4643.9375,1589.1875,115,373.5625,328.0625,4642.4375,Msk
2021/2022,District Level,Public School,28.0,Quesnel,,,All Facility Types,All Grades,3016,1010,111,190,369,3016,Msk,2943.875,994.4375,111,191.375,368.375,2943.875,Msk
2021/2022,District Level,Public School,33.0,Chilliwack,,,All Facility Types,All Grades,14196,2800,679,731,2173,14080,53,14619.1251,2853.5625,685.5,758.375,2250,14500.3126,20.75
2021/2022,District Level,Public School,34.0,Abbotsford,,,All Facility Types,All Grades,20182,2490,2852,1077,2071,19906,204,19773.375,2441.1875,2860.6875,1096.25,2094.25,19516.5625,33.9375
2021/2022,District Level,Public School,35.0,Langley,,,All Facility Types,All Grades,23722,2447,1654,1398,3113,22843,733,22909.6875,2358.8125,1654.9375,1423.625,3087.5625,22110.5625,68.375
2021/2022,District Level,Public School,36.0,Surrey,,,All Facility Types,All Grades,77646,3842,18846,3063,8995,77002,1768,73789.4375,3697,18826.4375,3061.1875,8946.0625,73204.125,297.625
2021/2022,District Level,Public School,37.0,Delta,,,All Facility Types,All Grades,16841,816,1671,1904,2157,16181,132,16186.6875,792.1875,1673.625,1903.6875,2157.5,15655.9375,18.375
2021/2022,District Level,Public School,38.0,Richmond,,,All Facility Types,All Grades,22202,330,6431,2371,1991,21520,424,20934.45,322.1875,6431.125,2372.375,1977.0125,20296.7,70.75
2021/2022,District Level,Public School,39.0,Vancouver,,,All Facility Types,All Grades,52117,2404,8022,4863,6069,50853,1115,49393.0,2358.625,8033.625,4872.8125,6026.25,48181.3125,181.25
2021/2022,District Level,Public School,40.0,New Westminster,,,All Facility Types,All Grades,7683,396,1283,966,734,7542,581,6871.9375,351.4375,1282.125,970.375,733.4375,6756.6875,36.4375
2021/2022,District Level,Public School,41.0,Burnaby,,,All Facility Types,All Grades,26055,931,6186,2201,2655,25060,335,25097.7189,895.625,6193.8125,2228.4375,2638.2188,24146.2189,34.8125
2021/2022,District Level,Public School,42.0,Maple Ridge-Pitt Meadows,,,All Facility Types,All Grades,16061,1739,907,1650,2676,15635,328,15905.875,1723,911.8125,1678.0625,2739.875,15507.625,24.5
2021/2022,District Level,Public School,43.0,Coquitlam,,,All Facility Types,All Grades,33867,1569,5104,3827,5378,32937,915,32213.8125,1545.125,5121.25,3877.875,5522.0625,31276.125,129.75
2021/2022,District Level,Public School,44.0,North Vancouver,,,All Facility Types,All Grades,16578,752,1068,2685,2301,16042,81,16089.625,747,1066.875,2680,2320,15596.1875,4
2021/2022,District Level,Public School,45.0,West Vancouver,,,All Facility Types,All Grades,7183,136,1288,1022,704,6772,,7367.125,138.875,1293.1875,1044.875,722.0625,6950.75,
2021/2022,District Level,Public School,46.0,Sunshine Coast,,,All Facility Types,All Grades,3400,775,114,,756,3381,Msk,3352.3125,764.125,114.5,,757.5625,3335.75,Msk
2021/2022,District Level,Public School,47.0,qathet,,,All Facility Types,All Grades,3267,509,12,215,609,3191,36,2982.25,470.1875,12,215.875,537.1875,2912.5,3.1875
2021/2022,District Level,Public School,48.0,Sea to Sky,,,All Facility Types,All Grades,5598,756,389,1079,561,5404,45,5499.0,745.375,392.9375,1119.5625,576.8125,5308.25,4.375
2021/2022,District Level,Public School,49.0,Central Coast,,,All Facility Types,All Grades,Msk,Msk,Msk,Msk,Msk,Msk,Msk,206.6875,Msk,Msk,Msk,Msk,Msk,
2021/2022,District Level,Public School,50.0,Haida Gwaii,,,All Facility Types,All Grades,461,305,62,,85,461,,458.4375,303.1875,62,,85.6875,458.4375,
2021/2022,District Level,Public School,51.0,Boundary,,,All Facility Types,All Grades,1315,456,,,203,1315,,1298.5,451.125,,,200.125,1298.5,
2021/2022,District Level,Public School,52.0,Prince Rupert,,,All Facility Types,All Grades,1830,1183,143,205,301,1830,,1817.8125,1169.1875,143.1875,208.6875,295.8125,1817.8125,
2021/2022,District Level,Public School,53.0,Okanagan Similkameen,,,All Facility Types,All Grades,2478,588,159,,409,2476,43,2361.5,547.4375,159,,392,2359.5,6.875
2021/2022,District Level,Public School,54.0,Bulkley Valley,,,All Facility Types,All Grades,2001,604,,172,192,2001,,1912.75,589.0625,,172,191.5,1912.75,
2021/2022,District Level,Public School,57.0,Prince George,,,All Facility Types,All Grades,13373,4469,1709,1168,1566,13367,252,13042.25,4397.5625,1710.625,1181.375,1582.125,13037.5625,13.5
2021/2022,District Level,Public School,58.0,Nicola-Similkameen,,,All Facility Types,All Grades,2586,1067,,202,304,2584,223,2051.8125,976.3125,,201.875,299.25,2050.9375,11.4375
2021/2022,District Level,Public School,59.0,Peace River South,,,All Facility Types,All Grades,3661,1368,90,267,458,3655,Msk,3629.625,1352,90.125,268.625,453.9375,3624.5,Msk
2021/2022,District Level,Public School,60.0,Peace River North,,,All Facility Types,All Grades,6941,1554,501,373,683,6853,143,6147.375,1470.8125,503.9375,377.6875,679.625,6073.875,10.75
2021/2022,District Level,Public School,61.0,Greater Victoria,,,All Facility Types,All Grades,20370,1781,1921,3912,2676,19436,106,20682.4721,1779.0627,1956.5313,4059.7517,2776.3133,19807.6596,18.25
2021/2022,District Level,Public School,62.0,Sooke,,,All Facility Types,All Grades,12782,1680,795,1560,1692,12453,315,12245.5625,1618.8125,805.5625,1583.75,1729.5625,11980.125,25.0625
2021/2022,District Level,Public School,63.0,Saanich,,,All Facility Types,All Grades,10103,1039,603,967,1167,9809,1302,7661.625,771.0625,606.0625,982.875,1078.8125,7459.25,96.625
2021/2022,District Level,Public School,64.0,Gulf Islands,,,All Facility Types,All Grades,1510,175,15,141,171,1443,Msk,1512.375,178.25,15,143.6875,174.875,1462.5,Msk
2021/2022,District Level,Public School,67.0,Okanagan Skaha,,,All Facility Types,All Grades,5785,1109,85,620,682,5671,Msk,5757.6875,1107.3125,84.8125,628.5625,688.875,5653.75,Msk
2021/2022,District Level,Public School,68.0,Nanaimo-Ladysmith,,,All Facility Types,All Grades,15561,2972,928,1654,1264,15294,108,15018.1875,2901,928.5,1654.6875,1243.3125,14771.875,5.1875
2021/2022,District Level,Public School,69.0,Qualicum,,,All Facility Types,All Grades,4697,663,86,457,512,4545,22,4407.5625,631.125,86.4375,461.625,508,4272.4375,1.5
2021/2022,District Level,Public School,70.0,Pacific Rim,,,All Facility Types,All Grades,4007,1535,67,366,470,3986,34,3929.625,1507,68,371.125,467.125,3912.375,17.5
2021/2022,District Level,Public School,71.0,Comox Valley,,,All Facility Types,All Grades,12582,2213,135,1245,1011,12257,800,9831.3125,1949.375,135,1253.0625,976.125,9622.625,43.6875
2021/2022,District Level,Public School,72.0,Campbell River,,,All Facility Types,All Grades,5547,1467,257,856,757,5490,15,5587.625,1475.6875,257.375,865.5625,763.0625,5529,5.375
2021/2022,District Level,Public School,73.0,Kamloops-Thompson,,,All Facility Types,All Grades,16069,3644,246,1228,1852,15848,281,15527.25,3523.375,247.8125,1245.625,1815.125,15374.5,22.125
2021/2022,District Level,Public School,74.0,Gold Trail,,,All Facility Types,All Grades,1057,687,,,87,1057,,1054.5313,687.3125,,,86.9375,1054.5313,
2021/2022,District Level,Public School,75.0,Mission,,,All Facility Types,All Grades,6670,1349,339,540,837,6573,55,6496.625,1306,339.5,543.375,823.9375,6398.375,2.5
2021/2022,District Level,Public School,78.0,Fraser-Cascade,,,All Facility Types,All Grades,1709,737,79,,314,1709,Msk,1720.1875,741.1875,78.5,,314.8125,1720.1875,Msk
2021/2022,District Level,Public School,79.0,Cowichan Valley,,,All Facility Types,All Grades,8732,1914,356,1019,1148,8539,14,8495.26175,1886.034,355.5,1027.719,1156.8776,8330.4805,2.5625
2021/2022,District Level,Public School,81.0,Fort Nelson,,,All Facility Types,All Grades,681,289,14,Msk,84,681,Msk,671.5,284.8125,14.125,Msk,83.5,671.5,Msk
2021/2022,District Level,Public School,82.0,Coast Mountains,,,All Facility Types,All Grades,4178,2123,312,459,608,4177,24,4054.5,2075,311.9375,458,597.4375,4053.5,0.375
2021/2022,District Level,Public School,83.0,K̓wsaltktnéws ne Secwepemcúl’ecw,,,All Facility Types,All Grades,6915,1522,39,736,1237,6877,28,6806.1875,1517.75,39.3125,756.625,1256.5,6773.6875,0.125
2021/2022,District Level,Public School,84.0,Vancouver Island West,,,All Facility Types,All Grades,285,181,,,57,277,,277.75,176.5625,,,55.375,269.75,
2021/2022,District Level,Public School,85.0,Vancouver Island North,,,All Facility Types,All Grades,1277,647,201,,276,1275,Msk,1270.6875,643.3125,200.75,,275.6875,1269.5625,Msk
2021/2022,District Level,Public School,87.0,Stikine,,,All Facility Types,All Grades,Msk,Msk,Msk,Msk,Msk,Msk,Msk,161.75,Msk,Msk,Msk,Msk,Msk,
2021/2022,District Level,Public School,91.0,Nechako Lakes,,,All Facility Types,All Grades,5062,1566,,127,721,5032,461,3623.125,1400.5,,127,657.75,3613.375,19.125
2021/2022,District Level,Public School,92.0,Nisga'a,,,All Facility Types,All Grades,376,375,70,Msk,55,376,Msk,376.625,375.625,70,Msk,55.5,376.625,Msk
2021/2022,District Level,Public School,93.0,Conseil scolaire francophone,,,All Facility Types,All Grades,6447,593,1495,,681,6447,,6428.375,592.25,1495.3125,,675.5,6428.375,
2022/2023,District Level,Public School,5.0,Southeast Kootenay,,,All Facility Types,All Grades,6111,1345,91,639,979,6043,64,5937.0625,1313.6875,91.5,641.8125,975,5881.125,4.875
2022/2023,District Level,Public School,6.0,Rocky Mountain,,,All Facility Types,All Grades,3630,896,50,191,400,3546,Msk,3556.625,882,50,188.375,399.0625,3489.375,Msk
2022/2023,District Level,Public School,8.0,Kootenay Lake,,,All Facility Types,All Grades,5052,1118,77,346,455,4979,82,4787.5,1074.75,76.6875,344.375,451.1875,4736.0625,4.625
2022/2023,District Level,Public School,10.0,Arrow Lakes,,,All Facility Types,All Grades,509,144,Msk,,90,506,Msk,521.0326,147.3751,Msk,,90.5628,518.9701,Msk
2022/2023,District Level,Public School,19.0,Revelstoke,,,All Facility Types,All Grades,1092,116,36,,202,1063,,1098.9375,118.3125,36,,205.6875,1072.0625,
2022/2023,District Level,Public School,20.0,Kootenay-Columbia,,,All Facility Types,All Grades,4136,815,89,377,525,4135,,4103.625,811.5,88.625,378.375,520.4375,4103,
2022/2023,District Level,Public School,22.0,Vernon,,,All Facility Types,All Grades,9311,1576,255,1096,1251,9049,15,8954.375,1534.9375,254.875,1096,1237,8740.375,2.375
2022/2023,District Level,Public School,23.0,Central Okanagan,,,All Facility Types,All Grades,24728,3698,1180,2750,3200,24196,71,24699.0,3690.375,1187,2819.1875,3226.125,24233.375,13.875
2022/2023,District Level,Public School,27.0,Cariboo-Chilcotin,,,All Facility Types,All Grades,4733,1620,34,399,359,4732,Msk,4693.625,1597.125,34,397.5,356.875,4692.5,Msk
2022/2023,District Level,Public School,28.0,Quesnel,,,All Facility Types,All Grades,3044,1030,69,192,425,3044,10,2977.125,1014.6875,69,193.125,420.9375,2977.125,0.25
2022/2023,District Level,Public School,33.0,Chilliwack,,,All Facility Types,All Grades,14413,2845,757,735,2327,14276,20,14903.5625,2931.25,763.0625,760.625,2439,14759.125,9.625
2022/2023,District Level,Public School,34.0,Abbotsford,,,All Facility Types,All Grades,20186,2471,3027,1118,2165,19816,141,19979.8125,2446.375,3034.5625,1148.875,2166.9375,19645.8125,21.9375
2022/2023,District Level,Public School,35.0,Langley,,,All Facility Types,All Grades,24691,2385,1921,1346,3376,23720,625,24087.3125,2309.875,1918.25,1354.5,3361.375,23227.125,80.25
2022/2023,District Level,Public School,36.0,Surrey,,,All Facility Types,All Grades,79900,3706,20874,3005,9285,79156,1897,76145.625,3572.0625,20844.9375,2994.125,9232.3125,75485.8125,318.5
2022/2023,District Level,Public School,37.0,Delta,,,All Facility Types,All Grades,17245,762,1868,1854,2074,16464,190,16427.875,743.0625,1869.75,1849.25,2063.1875,15799.1875,27.125
2022/2023,District Level,Public School,38.0,Richmond,,,All Facility Types,All Grades,22886,320,7074,2336,2115,22143,402,21727.6875,313.125,7078.375,2334.1875,2103.4375,21046.1875,61.0625
2022/2023,District Level,Public School,39.0,Vancouver,,,All Facility Types,All Grades,52640,2406,8701,4736,6158,51323,931,50527.4375,2357.4375,8715.875,4745.875,6114.3125,49232.375,164.3125
2022/2023,District Level,Public School,40.0,New Westminster,,,All Facility Types,All Grades,7669,367,1439,990,772,7469,219,7264.1875,351.25,1439.5,995.8125,769.1875,7103.1875,25.875
2022/2023,District Level,Public School,41.0,Burnaby,,,All Facility Types,All Grades,27525,917,7273,2192,2838,26356,409,26479.0625,880.875,7285.5625,2218.125,2819.125,25365.5,56.5625
2022/2023,District Level,Public School,42.0,Maple Ridge-Pitt Meadows,,,All Facility Types,All Grades,16519,1725,1171,1624,2831,16004,297,16427.5625,1718.25,1179.125,1649.3125,2914.5,15937.625,41.125
2022/2023,District Level,Public School,43.0,Coquitlam,,,All Facility Types,All Grades,33916,1483,5496,3763,5439,32787,972,32803.0944,1466,5517.0625,3800.6875,5571.6875,31727.8444,153.5944
2022/2023,District Level,Public School,44.0,North Vancouver,,,All Facility Types,All Grades,16962,722,1269,2690,2403,16272,107,16450.0625,711.4375,1268.125,2682.5,2404.625,15799.25,4.375
2022/2023,District Level,Public School,45.0,West Vancouver,,,All Facility Types,All Grades,7230,141,1396,998,798,6852,,7405.1875,142.5,1401.75,1011.5625,813.4375,7021.875,
2022/2023,District Level,Public School,46.0,Sunshine Coast,,,All Facility Types,All Grades,3494,803,123,,820,3484,19,3397.8125,772.125,123.6875,,818.1875,3388.875,2.875
2022/2023,District Level,Public School,47.0,qathet,,,All Facility Types,All Grades,3352,535,19,207,628,3285,33,3090.625,497.375,19,208.625,571.3125,3033.4375,2.75
2022/2023,District Level,Public School,48.0,Sea to Sky,,,All Facility Types,All Grades,5482,686,382,1026,628,5307,33,5443.3125,699.0625,385.1875,1065.8125,645.875,5263.9375,1.625
2022/2023,District Level,Public School,49.0,Central Coast,,,All Facility Types,All Grades,Msk,Msk,Msk,Msk,Msk,Msk,Msk,224.3125,Msk,Msk,Msk,Msk,Msk,
2022/2023,District Level,Public School,50.0,Haida Gwaii,,,All Facility Types,All Grades,470,315,75,,101,470,Msk,462.125,308.75,75.125,,99,462.125,Msk
